0;-6638390;0;0
2753408;-592143;0;0
5506561;-592143;0;0
8259969;-592143;0;0
11013122;-592143;0;0
3970;-592143;0;0
11021745;-592143;0;0
5510531;-592143;0;0
8263684;-592143;0;0
11017092;-592143;0;0
7685;-592143;0;0
2761093;-592143;0;0
5514246;-592143;0;0
8267654;-592143;0;0
11020807;-592143;0;0
11655;-592143;0;0
2764808;-592143;0;0
5518216;-592143;0;0
8271369;-592143;0;0
11024777;-592143;0;0
15370;-592143;0;0
2768778;-592143;0;0
5521931;-592143;0;0
8275339;-592143;0;0
11028492;-592143;0;0
19340;-592143;0;0
2772493;-592143;0;0
8279054;-592143;0;0
5525901;-592143;0;0
11032462;-592143;0;0
23055;-592143;0;0
2776463;-592143;0;0
5529616;-592143;0;0
8283024;-592143;0;0
11036177;-592143;0;0
27025;-592143;0;0
2780178;-592143;0;0
5533586;-592143;0;0
8286739;-592143;0;0
11040147;-592143;0;0
30740;-592143;0;0
2784148;-592143;0;0
5537301;-592143;0;0
8290709;-592143;0;0
11043862;-592143;0;0
34710;-592143;0;0
2787863;-592143;0;0
5541271;-592143;0;0
8294424;-592143;0;0
11047832;-592143;0;0
38425;-592143;0;0
2791833;-592143;0;0
5544986;-592143;0;0
8298394;-592143;0;0
11051547;-592143;0;0
42395;-592143;0;0
2795548;-592143;0;0
5548956;-592143;0;0
8302109;-592143;0;0
11055517;-592143;0;0
46110;-592143;0;0
2799518;-592143;0;0
5552671;-592143;0;0
8306079;-592143;0;0
11059232;-592143;0;0
50080;-592143;0;0
2803233;-592143;0;0
5556641;-592143;0;0
8309794;-592143;0;0
11063202;-592143;0;0
53795;-592143;0;0
2752675;-592143;0;0
5505828;-592143;0;0
8259236;-592143;0;0
11012389;-592143;0;0
3237;-592143;0;0
2756390;-592143;0;0
5509798;-592143;0;0
8262951;-592143;0;0
11016359;-592143;0;0
6952;-592143;0;0
2760360;-592143;0;0
5513513;-592143;0;0
8266921;-592143;0;0
11020074;-592143;0;0
10922;-592143;0;0
2764075;-592143;0;0
5517483;-592143;0;0
8270636;-592143;0;0
11024044;-592143;0;0
14637;-592143;0;0
2768045;-592143;0;0
5521198;-592143;0;0
8274606;-592143;0;0
11027759;-592143;0;0
18607;-592143;0;0
2771760;-592143;0;0
5525168;-592143;0;0
8278321;-592143;0;0
